Marine_environment	Environment	stID	tsID	popID	filename	description	citation	URL	total_N	steps	interval_MY	trait_type	log_transformed	taxa	species	microfossil	sampling	age_model	sediment	environment2	period_start	period_end	epoch_start	epoch_end	age_start	age_end	source	publication_year	signature	lat	lon	set
unsure	lacustrine	33	702	33_a	Theriot_et_al_2006_spines	Stephanodiscus yellowstonensis. Number of spines per valve.	"Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54."	https://doi.org/10.1666/02075.1	2804	63	0.013728276	count	no	diatom	Stephanodiscus_yellowstonensis	yes	sediment core	NA	unknown	lacustrine	Quaternary	Quaternary	Holocene	Holocene	Greenlandian	present	unknown	2006	unknown	44.43776932	-110.3322579	yes
unsure	lacustrine	33	701	33_a	Theriot_et_al_2006_ribs	Stephanodiscus yellowstonensis. Number of ribs per valve.	"Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54."	https://doi.org/10.1666/02075.1	2804	63	0.013728276	count	no	diatom	Stephanodiscus_yellowstonensis	yes	sediment core	NA	unknown	lacustrine	Quaternary	Quaternary	Holocene	Holocene	Greenlandian	present	unknown	2006	unknown	44.43776932	-110.3322579	yes
unsure	lacustrine	33	700	33_a	Theriot_et_al_2006_diameter	Stephanodiscus yellowstonensis. Valve diameter (um).	"Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54."	https://doi.org/10.1666/02075.1	2804	63	0.013728276	linear	no	diatom	Stephanodiscus_yellowstonensis	yes	sediment core	NA	unknown	lacustrine	Quaternary	Quaternary	Holocene	Holocene	Greenlandian	present	unknown	2006	unknown	44.43776932	-110.3322579	yes
benthic	marine	100	662	100_a	Baumfalk_aubeterell2-Lo	"Orbitoides media, mean of L0 (largest diameter of the embryon, aubeterre II. "	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	746	27	1.376995074	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	661	100_a	Baumfalk_aubeterell2-mC	"Orbitoides media, average number of the closing chambers, aubeterre II. "	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	746	27	1.369883005	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	660	100_b	Baumfalk_aubeterell1-Lo	"Orbitoides media, mean of L0 (largest diameter of the embryon, aubeterre I."	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	542	19	1.123245074	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	659	100_b	Baumfalk_aubeterell1-mC	"Orbitoides media, average number of the closing chambers, aubeterre I."	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	542	19	1.117487685	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	658	100_c	Baumfalk_suzac_Lo	"Orbitoides media, mean of L0 (largest diameter of the embryon), suzac section"	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	578	18	1.127432266	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	657	100_c	Baumfalk_suzac_mC	"Orbitoides media, average number of the closing chambers), suzac section"	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	578	18	1.125166256	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
planktic	marine	101	656	101_a	Spaak_capo	"diameter Orbulina universa, Capo Rossello"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	570	19	2.131783784	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	marl	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	37.3	13.45	no
