N	trait_mean	trait_var	age_MY	tsID	age_MY_min	age_MY_max
20	0.389749375	0.165754516	0	668	NA	NA
24	0.372829057	0.161654042	0.00315	668	NA	NA
36	0.374360349	0.154574967	0.03105	668	NA	NA
15	0.454352382	0.165505208	0.0498	668	NA	NA
9	0.463237001	0.168755548	0.0576	668	NA	NA
10	0.457298108	0.201691723	0.075	668	NA	NA
13	0.459540661	0.151015595	0.0996	668	NA	NA
7	0.476785562	0.152745126	0.1026	668	NA	NA
30	0.458494241	0.157851462	0.1092	668	NA	NA
16	0.478210798	0.155591661	0.1188	668	NA	NA
21	0.463309686	0.17868347	0.12405	668	NA	NA
23	0.457916068	0.168192691	0.12495	668	NA	NA
15	0.486910836	0.205191735	0.1656	668	NA	NA
8	0.47377807	0.167659653	0.18765	668	NA	NA
20	0.307066417	0.166596168	0	667	NA	NA
24	0.296981764	0.181776102	0.00315	667	NA	NA
36	0.294682077	0.158191994	0.03105	667	NA	NA
15	0.385370257	0.201179295	0.0498	667	NA	NA
9	0.394144347	0.131884704	0.0576	667	NA	NA
10	0.372800794	0.197957189	0.075	667	NA	NA
13	0.376838545	0.219631576	0.0996	667	NA	NA
7	0.356377663	0.246964133	0.1026	667	NA	NA
30	0.358630895	0.18982442	0.1092	667	NA	NA
16	0.378901954	0.227904446	0.1188	667	NA	NA
21	0.365842491	0.184478947	0.12405	667	NA	NA
23	0.36479576	0.181678746	0.12495	667	NA	NA
15	0.381847233	0.1799484	0.1656	667	NA	NA
8	0.364298989	0.175508453	0.18765	667	NA	NA
13	1.5291	0.128881	0	346	NA	NA
13	1.2733	0.02241009	0.88376	346	NA	NA
14	1.2413	0.01352569	1.00016	346	NA	NA
8	1.3023	0.026033823	1.13936	346	NA	NA
8	1.2093	0.03041536	1.34896	346	NA	NA
21	1.2151	0.040824203	1.51176	346	NA	NA
10	1.1453	0.015989603	1.69776	346	NA	NA
12	1.1512	0.019881	1.88376	346	NA	NA
29	1.1948	0.01827904	2.18616	346	NA	NA
10	1.1802	0.01252161	2.69776	346	NA	NA
33	1.1628	0.014556423	2.88376	346	NA	NA
6	0.9186	0.013521038	3.09296	346	NA	NA
15	1.0058	0.006623518	3.41856	346	NA	NA
7	1.0233	0.016736597	3.62776	346	NA	NA
10	0.99419	0.003725271	4.25576	346	NA	NA
9	1.0291	0.013855644	4.62776	346	NA	NA
9	1.0378	0.014209832	4.81376	346	NA	NA
10	0.90698	0.008653651	5.23256	346	NA	NA
34	0.96512	0.014905968	5.37216	346	NA	NA
9	0.95058	0.004468254	5.60456	346	NA	NA
22	0.93023	0.018662292	5.79056	346	NA	NA
67	0.98256	0.010352045	5.88376	346	NA	NA
7	0.78488	0.02155024	9.34896	346	NA	NA
13	1.8907	0.10214416	0	345	NA	NA
13	1.6946	0.02692881	0.8988	345	NA	NA
14	1.7119	0.02835856	1.0368	345	NA	NA
8	1.7464	0.02692881	1.152	345	NA	NA
8	1.611	0.016040223	1.3824	345	NA	NA
21	1.5563	0.045390303	1.5208	345	NA	NA
